ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650359806.3515737,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.3515737,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.3515737,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.3515737,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.3515737,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.3515737,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.3515737,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.3515737,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.3515737,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.3515737,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.4540956,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.4540956,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.4540956,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.4540956,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.4540956,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.4540956,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.4540956,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.4540956,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.4540956,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.4540956,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.4540956,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.4540956,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.4540956,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.4540956,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.4540956,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.4540956,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.4540956,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.557783,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.557783,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.557783,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.557783,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.557783,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.557783,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.557783,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.557783,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.557783,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.557783,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.557783,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.557783,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.557783,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.557783,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.557783,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.557783,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.557783,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.6603782,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.6603782,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.6603782,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.6603782,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.6603782,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.6603782,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.6603782,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.6603782,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.6603782,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.6603782,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.6603782,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.6603782,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.6603782,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.6603782,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.6603782,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.6603782,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.6603782,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.7639632,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.7639632,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.7639632,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.7639632,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.7639632,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.7639632,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.7639632,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.7639632,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.7639632,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.7639632,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.7639632,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.7639632,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.7639632,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.7639632,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.7639632,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.7639632,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.7639632,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.8678782,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.8678782,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.8678782,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.8678782,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.8678782,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.8678782,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.8678782,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.8678782,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.8678782,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.8678782,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.8678782,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.8678782,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.8678782,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.8678782,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.8678782,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.8678782,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.8678782,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359806.971786,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359806.971786,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359806.971786,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359806.971786,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359806.971786,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
1650359806.971786,public.followers,18852,public,followers,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.971786,public.follows,18867,public,follows,1,0,0,0,61085,0,0,0,61085,0,61085,61085,,,,,0,0,0,0,2252800
1650359806.971786,public.history,18526,public,history,0,0,,,1500237,0,0,0,1500237,0,30237,30237,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129507328
1650359806.971786,public.item,18483,public,item,1,0,5002711,5002710,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650359806.971786,public.new_order,18553,public,new_order,1,0,420,420,450278,0,210,0,450067,211,9487,45278,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19972096
1650359806.971786,public.oorder,18540,public,oorder,3,0,15455145,15455145,1500278,210,0,158,1500277,65,30487,150278,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98893824
1650359806.971786,public.order_line,18563,public,order_line,1,0,108322,22150868,15004416,2052,0,1458,15004663,719,4565,302935,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:46:51.591555+00:00,0,9,0,12,1518002176
1650359806.971786,public.savings,18818,public,savings,1,0,5382,5382,50000000,1803,0,9,49996956,1803,4016907,4027392,,2022-04-19 09:08:03.419560+00:00,,2022-04-19 09:08:04.657883+00:00,0,17,0,27,2214912000
1650359806.971786,public.stock,18488,public,stock,1,0,15012028,230598414,5000000,2695,0,1322,4924550,1373,223239,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778606080
1650359806.971786,public.tweets,18882,public,tweets,2,0,0,0,1000000,0,0,0,1000000,0,1000000,1000000,,,,,0,0,0,0,190595072
1650359806.971786,public.user_profiles,18841,public,user_profiles,3,0,1244340,1244340,25000,0,0,0,25000,0,25000,25000,,,,,0,0,0,0,1818624
1650359806.971786,public.warehouse,18478,public,warehouse,722,36050,5000534,5000534,50,237,0,237,50,16,0,50,,,,2022-04-19 07:47:50.623083+00:00,0,0,0,2,8192
1650359807.0743866,public.accounts,18812,public,accounts,2,0,100008382,100008382,50000000,0,0,0,50003250,0,0,9006720,,2022-04-19 08:59:17.774114+00:00,,2022-04-19 09:15:55.754715+00:00,0,16,0,28,5463187456
1650359807.0743866,public.added_tweets,18894,public,added_tweets,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
1650359807.0743866,public.checking,18828,public,checking,1,0,9842,9842,50000000,5685,0,62,49996523,5685,3898933,3906176,,2022-04-19 09:08:16.244494+00:00,,2022-04-19 09:08:17.513435+00:00,0,17,0,27,2215092224
1650359807.0743866,public.customer,18513,public,customer,2,0,3001536,87150448,1500000,447,0,37,1488887,438,16623,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929775616
1650359807.0743866,public.district,18503,public,district,1010336,173107735,1990959,1990959,500,515,0,515,500,7,0,500,,,,2022-04-19 07:47:50.637853+00:00,0,0,0,6,90112
